# 2016 12 15 14 25 14.36  11.8803  141.4615   12.00 -2.00  0.00  0.00  0.00          1
Y07        24.760   1.000   S
Y06        15.500   1.000   P
Y06        27.700   1.000   S
Y09        10.520   1.000   P
Y09        18.770   1.000   S
Y40        15.970   1.000   P
Y40        27.340   1.000   S
# 2016 12 21  8  2 37.10  12.1442  142.0975   10.40 -2.00  0.00  0.00  0.00         55
Y03        10.740   1.000   P
Y03        18.710   1.000   S
Y85        15.640   1.000   P
Y07        14.010   1.000   S
Y06         5.610   1.000   P
Y06         9.790   1.000   S
# 2016 12 21  8 54  3.81  11.7812  141.7040    8.50 -2.00  0.00  0.00  0.00         56
Y03        10.210   1.000   P
Y03        17.860   1.000   S
Y85        10.220   1.000   P
Y07        10.140   1.000   P
Y06        10.180   1.000   P
Y40         7.450   1.000   P
Y40         9.570   1.000   S
# 2016 12 21 13  8  2.66  11.9127  141.6950   90.80 -2.00  0.00  0.00  0.00         57
Y03        16.390   1.000   P
Y85        17.320   1.000   P
Y85        22.760   1.000   S
Y07        15.770   1.000   P
Y09        15.350   1.000   P
Y06        15.370   1.000   P
Y40        16.370   1.000   P
# 2016 12 21 13 57 13.60  12.0317  141.8887   10.00 -2.00  0.00  0.00  0.00         58
Y09         6.350   1.000   P
Y85        11.560   1.000   P
Y85        22.660   1.000   S
Y07         6.390   1.000   P
# 2016 12 21 14 46 49.89  12.2397  141.5612   12.00 -2.00  0.00  0.00  0.00         59
Y03         9.110   1.000   P
Y09        10.160   1.000   P
Y06        11.140   1.000   P
Y40        26.350   1.000   S
# 2016 12 21 16 29 48.41  12.0810  141.5112    5.00 -2.00  0.00  0.00  0.00         60
Y09         7.560   1.000   P
Y03         7.620   1.000   P
Y85         5.590   1.000   P
Y85        13.720   1.000   S
Y07         7.580   1.000   P
Y06         5.600   1.000   P
Y40         7.580   1.000   P
# 2016 12 21 16 59  9.98  12.0645  141.5358    6.50 -2.00  0.00  0.00  0.00         61
Y09         6.010   1.000   P
Y09        13.310   1.000   S
Y85         8.050   1.000   P
Y07         7.010   1.000   P
Y07        13.250   1.000   S
Y06         9.040   1.000   P
Y40        11.020   1.000   P
# 2016 12 21 17  6 52.59  12.1248  141.4000   10.00 -2.00  0.00  0.00  0.00         62
Y03         5.400   1.000   P
Y07        10.020   1.000   P
Y07        10.310   1.000   S
Y09         8.440   1.000   P
# 2016 12 21 18 28 50.63  12.3407  141.6073    7.80 -2.00  0.00  0.00  0.00         63
Y03        11.740   1.000   P
Y03        18.560   1.000   S
Y09        10.490   1.000   P
Y09        18.040   1.000   S
Y06        12.120   1.000   P
Y06        21.510   1.000   S
# 2016 12 21 19 47 56.66  12.2160  141.4090    5.00 -2.00  0.00  0.00  0.00         64
Y85         3.320   1.000   P
Y85         7.100   1.000   S
Y07        10.280   1.000   P
Y06         6.340   1.000   P
Y09         9.840   1.000   P
Y09        19.960   1.000   S
Y40         7.350   1.000   P
Y40        15.820   1.000   S
# 2016 12 22  0 47 36.60  11.8425  141.7407   14.30 -2.00  0.00  0.00  0.00         65
Y09         7.390   1.000   P
Y03        10.370   1.000   P
